======================================================================
  DAFTAR DRAMA - KOREAN
  Total: 632 drama
======================================================================

No.    ID       Judul                                               Episode
135    807      초고속 결혼 로맨스 ING                                        78 eps
136    808      인턴 사모님                                                80 eps
137    809      위험한 거래                                                84 eps
138    836      너는 내 가족                                               79 eps
139    837      너는 내 가족                                               79 eps
140    838      위험 속에서 피어난 사랑                                         62 eps
141    842      그가 구하는 정의                                             54 eps
142    851      딸 찾아 삼만리                                              64 eps
143    852      검은 사랑                                                 98 eps
144    853      사랑과 현실                                                50 eps
145    874      달빛이 드리운 사랑                                            84 eps
146    875      장미의 가시                                                63 eps
147    876      결혼 후 남편을 사랑하게 됐다                                      73 eps
148    877      사랑의 시작, 재벌 아빠와 나                                     101 eps
149    896      순정파 조폭 남편（더빙）                                         65 eps
150    897      50세의 설렘（더빙）                                           62 eps
151    899      도박의 위험                                                29 eps
152    908      출소 후 카리스마 넘치는 우리 엄마                                   77 eps
153    909      명주공주                                                  56 eps
154    910      진짜 도련님의 역습                                            35 eps
155    933      시어머님을 위해 복수하는 며느리                                     35 eps
156    934      나의 아가씨                                                85 eps
157    935      그날 밤 우린 술에 취해                                         80 eps
158    936      뒤늦은 사랑, 돌이킬 수 없는 후회                                   31 eps
159    959      비 온 뒤 맑음                                              65 eps
160    972      사모님은 시골출신 2（더빙）                                       77 eps
161    973      할머니의 사랑（더빙）                                           59 eps
162    984      마녀의 남자 유혹 계획                                          83 eps
163    985      이번 생은 내 뜻대로                                          148 eps
164    1008     내운명 꽃미남（더빙）                                           75 eps
165    1009     재벌 남편과의 비밀 결혼                                         57 eps
166    1010     섭정왕과 사랑에 빠지다                                          85 eps
167    1011     은혜의 보답                                                54 eps
168    1035     언니, 시엄마라 불러야지                                         52 eps
169    1041     용서도 재회도 없다（더빙）                                        65 eps
170    1042     냉혈인간 도련님의 지나친 형수님 사랑（더빙）                              52 eps
171    1049     부인은 달래기 어렵다                                           53 eps
172    1050     잘못된 사랑                                                47 eps
173    1068     너는 내 운명                                               90 eps
174    1069     내 아내는 킹왕짱                                             83 eps
175    1070     잘못했어요, 엄마                                             60 eps
176    1099     기세등등한 그녀                                              57 eps
177    1113     그대는 나의 운명                                             65 eps
178    1114     청산은 변함없다                                              65 eps
179    1116     청산은 변함없다                                              78 eps
180    1138     계모와 의붓동생한테 복수했다                                       40 eps
181    1140     늦었지만 사랑해                                             100 eps
182    1145     불타는 사랑                                                99 eps
183    1146     열애ing                                                 89 eps
184    1147     당신의 정체가 궁금해                                           90 eps
185    1181     엔젤 아이즈                                                90 eps
186    1183     대표님 그만하세요                                             90 eps
187    1185     길 잃은 밤                                                65 eps
188    1199     다시 만나도 사랑해                                            73 eps
189    1200     운명은 너를 기억해                                            90 eps
190    1201     왕누님이 돌아왔다                                             67 eps
191    1202     운명의 첫사랑                                               81 eps
192    1236     장미의 추락                                                67 eps
193    1239     80년대 벼락치기 결혼 부부                                       60 eps
194    1241     안방극장                                                  50 eps
195    1243     불나비같은 사랑                                              69 eps
196    1244     재벌집 온라인 사랑                                            90 eps
197    1245     그만하세요, 대표님 아이 맞아요                                     80 eps
198    1296     주대표의 특별한 사랑                                           74 eps
199    1300     떠오르는 태양                                               55 eps
200    1321     비극 속에서 피어난 복수                                         71 eps
201    1326     내 사랑이 원수 전처라니                                         33 eps
202    1349     진실한 사랑이 기다리고 있어                                       70 eps
203    1351     달콤한 거짓말（더빙）                                           40 eps
204    1353     까칠한 총재님은 나의 귀여운 강아지                                   66 eps
205    1354     오, 나의 여신님                                             36 eps
206    1355     슬픔의 바다                                                36 eps
207    1383     죽은 후에야 얻게 된 엄마 사랑                                     72 eps
208    1389     은밀한 레시피                                               78 eps
209    1395     실수로 재벌 집에 시집가 대표 남편을 건졌네                              53 eps
210    1407     회장 마누라와의 초고속 결혼                                       18 eps
211    1422     초고속 로맨스                                               73 eps
212    1424     대표 남편과 다시 사랑에 빠졌다                                     90 eps
213    1426     순서대로 피는 꽃                                             50 eps
214    1439     천생연분:나의 다이아몬드 남편（더빙）                                  80 eps
215    1456     놓쳐버린 희망                                               32 eps
216    1458     피의 유산                                                 70 eps
217    1470     구원자의 거짓말                                              75 eps
218    1475     뭐? 내 아이 친부가 재별이다니?                                    74 eps
219    1484     못난이 엄마                                                78 eps
220    1487     위험 속에서 피어난 사랑（더빙）                                     62 eps
221    1501     미운오리의 멋진 귀환                                           80 eps
222    1503     백발이 되어도 함께                                            68 eps
223    1506     남성에는 꽃이 만발하다                                          92 eps
224    1507     굿파트너                                                  60 eps
225    1528     18세 소녀는 내 증조할머니!?                                     47 eps
226    1532     낙화마을의 비밀                                              35 eps
227    1558     바보 엄마를 지켜라! 천재 쌍둥이의 특급 작전                             80 eps
228    1565     불장난으로 잃어버린 사랑                                         60 eps
229    1568     이혼 소송으로 만난 내 사랑                                       92 eps
230    1573     키다리 아빠，엄마 구해줘                                         70 eps
231    1576     남편의 두 얼굴                                              30 eps
232    1578     리벤지: 그녀의 역습                                           30 eps
233    1580     세상은 너로 인해 따듯해                                         86 eps
234    1583     승무원 다이어리                                              36 eps
235    1630     다시 한번 널 사랑해                                           91 eps
236    1640     재벌 남편한테 신분을 들켰다                                       90 eps
237    1649     럭키베이비들과 엄마의 재벌 남편                                     90 eps
238    1661     우리가 사랑한 거짓말                                           68 eps
239    1676     내 사랑하는 민아                                             51 eps
240    1679     그 후 우리는                                               92 eps
241    1681     그해 여름                                                 92 eps
242    1703     불꽃처럼 뜨거운 그녀                                           80 eps
243    1707     나의 행운아                                                64 eps
244    1715     죄의 사당                                                 40 eps
245    1719     복수의 꽃                                                 85 eps
246    1737     날 유혹하라고 아내가 여자를 보냈다                                   61 eps
247    1739     불사조:카지노                                               45 eps
248    1741     핏빛 반격                                                 70 eps
249    1743     낯선 남편, 익숙해 지는 사랑                                      90 eps
250    1745     달의 장례식                                                30 eps
251    1747     아침 햇살 같은 그녀                                           40 eps
252    1750     어게인 마이 라이프                                            60 eps
253    1773     국민 히어로                                                40 eps
254    1793     죽고 나서야 사랑받았다                                          85 eps
255    1797     미스터 제로:엄마의 눈물                                         77 eps
256    1808     계집종에서 정실 부인까지                                         67 eps
257    1810     나윤이                                                   63 eps
258    1821     연을 끊었지만 사랑합니다                                         72 eps
259    1833     내 여자친구는 집사                                            53 eps
260    1836     오늘도 대표님은 사랑 연습 중                                      55 eps
261    1844     속삭임처럼                                                 92 eps
262    1853     낚시터 속 전설                                              76 eps
263    1855     눈부신 빛이 그대를 따스히 감싸다                                    65 eps
264    1860     만질수 없는 우리 가족                                          68 eps
265    1861     태아의 목소리가 엄마를 지키다                                      80 eps
266    1873     뒤바뀐 운명, 황후의 반격                                        62 eps
267    1879     내 친구는 삼천 살                                            89 eps
268    1896     꽃이 필 즈음에                                              80 eps
269    1903     거절당한 부잣집 도련님                                          89 eps
270    1919     남자의 복수                                                40 eps
271    1922     사랑이 찾아올 때                                             38 eps
272    1928     남편 라이벌의 아내가 되다                                        60 eps
273    1947     수능을 꼭 볼걸래!                                            43 eps
274    1949     환생했어도 널 사랑해                                           75 eps
275    1951     환생한 나와 흑백의 나리!                                        91 eps
276    1960     곤욕을 치르게 된 신                                           50 eps
277    1964     화려한 변신                                                85 eps
278    1967     내 아내는 술고래다                                            64 eps
279    1982     내 남편을 돌려줘                                             73 eps
280    2000     돌이킬 수 없는 그녀                                           50 eps
281    2009     엄마의 사생아는 내 친아들?!                                      45 eps
282    2020     사랑이 찾아올 때 꽃이 핀다                                       89 eps
283    2023     가면: 달콤한 결혼의 가상                                        30 eps
284    2061     불꽃처럼 뜨거운 그녀（더빙）                                       80 eps
285    2070     배신의 대가                                                82 eps
286    2072     세자가 왜 그럴까?                                            65 eps
287    2074     거짓의 온도                                                58 eps
288    2076     남채리, 이래도 되는 거야!                                       97 eps
289    2078     그대 만나러 가는 길                                           90 eps
290    2095     베테랑                                                   36 eps
291    2097     오늘 부터 대표의 남편!                                         91 eps
292    2113     보라가 왔다                                                18 eps
293    2122     아름다운 신                                                79 eps
294    2128     사랑이 있다면                                               90 eps
295    2135     샘물 공간 VS 대본                                           64 eps
296    2142     블랙 달빛                                                 77 eps
297    2162     어린 왕의 귀환                                              61 eps
298    2172     슬픔과 행복                                                54 eps
299    2180     18세 소녀는 내 증조할머니2                                     100 eps
300    2182     운명이라 말해줘                                              37 eps
301    2184     찬란한 복수                                                79 eps
302    2193     봄바람아, 은혜를 죽여라!                                        60 eps
303    2202     18세 소녀는 내 증조할머니!?（더빙）                                 90 eps
304    2209     도박의 굴레:운명의 카드                                         94 eps
305    2224     아빠, 제가 있잖아요                                           58 eps
306    2231     뭐? 내 아이 친부가 재별이다니?（더빙）                                74 eps
307    2265     사랑과 원한, 바람 따라 날려보내                                    69 eps
308    2269     비밀이 있어도 괜찮아                                           81 eps
309    2273     운명을 건 사랑                                              58 eps
310    2275     잘못된 교육의 대가                                            30 eps
311    2277     잘못된 교육의 대가                                            30 eps
312    2290     전지적 건달 시점                                            105 eps
313    2297     괜찮아 가족이야                                             105 eps
314    2306     잃어버린 시간, 다시 찾아온 사랑                                    62 eps
315    2309     그녀는 더 이상 사랑하지 않는다                                     40 eps
316    2316     선제의 인간계행                                              61 eps
317    2332     천재 의사: 환생의 역습                                         61 eps
318    2334     시스템 공략 대상 교환!   후회해도 소용없어                             72 eps
319    2339     피로 맺은 계약, 피로 물든 바람                                    75 eps
320    2357     나의 딸 꼬마점술가                                            63 eps
321    2360     궁녀와 내시도 사랑합니다                                         61 eps
322    2362     위대한 루이나 부인                                            60 eps
323    2416     나는 남편의 상간녀다                                           42 eps
324    2422     형수를 가질 수만 있다면                                        100 eps
325    2431     어쩔 수 없는 사랑                                            60 eps
326    2433     후계자는 그녀가 아니다                                          64 eps
327    2462     나의 세 자식 놈들                                            80 eps
328    2466     달빛 아래 복수의 서약                                          84 eps
329    2469     폐물 아빠? 내가 골랐다!                                        66 eps
330    2471     위험한 끌림                                                73 eps
331    2474     재벌 아빠와의 재회                                            30 eps
332    2476     예전처럼 사랑해 줘                                            59 eps
333    2478     여보, 우리 집은 평범한 가정이야                                    60 eps
334    2499     그녀는 나의 보스였다                                           69 eps
335    2515     남편 길들이기                                               69 eps
336    2522     백조의 호수                                                71 eps
337    2526     나의 게임 세계로 온 걸 환영해                                     82 eps
338    2528     벙어리 신부의 복수계획                                          64 eps
339    2554     그녀가 돌아왔다                                              60 eps
340    2556     다시,장공주의 이름으로                                          80 eps
341    2571     대 반격, 요리의 신                                           31 eps
342    2573     명사 시스템 적합도100%                                        76 eps
343    2587     천벌                                                    41 eps
