======================================================================
  DAFTAR DRAMA - INDONESIAN
  Total: 522 drama
======================================================================

No.    ID       Judul                                               Episode
116    1313     Bayi Cerdas Penakluk Lima Ayah                        77 eps
117    1314     Perjuangan Jauh ke Rumah                              60 eps
118    1317     Bayi Triliuner dan Ibu Idiot                          80 eps
119    1318     Istri Kaya, Suami Tak Layak                           73 eps
120    1329     Benteng Terakhir di Musim Beku                        61 eps
121    1334     Dimanjain Sang Pewaris                                90 eps
122    1340     Identitas Istri CEO Terbongkar                        90 eps
123    1342     Punya Lima Anak Hebat                                 72 eps
124    1368     Nona Karina yang Tersayang                            69 eps
125    1373     Kau Hangatkan Duniaku                                 86 eps
126    1374     Suami Ilusiku                                         76 eps
127    1376     Asisten Pribadi Sang Bos                              89 eps
128    1385     Istriku sang Desainer Hebat                           80 eps
129    1411     Jenderal Wanita Yang Perkasa                          60 eps
130    1421     Pernikahan Kilat Terbaik di Hidup                     73 eps
131    1427     Mekarnya Bunga Hati Di Selatan Kota                   92 eps
132    1443     Ketika Masa Lalu Memanggil                           103 eps
133    1445     Takdir Cinta dengan Kaisar(Dubbing)                   62 eps
134    1449     Sang Misterius                                        98 eps
135    1462     Rahasia Ibu Rumah Tangga                              75 eps
136    1466     Nona Asli Telah Kembali                               51 eps
137    1468     Langkah Menuju Pelukan Ibu                            64 eps
138    1477     Anak Tersayang: Serbuan ke Keluarga Miliarder!        74 eps
139    1486     Mencari Istri dengan Bantuan Anak                     99 eps
140    1492     Cinta Sejati Ratu Lembah Obat                         85 eps
141    1519     Dimanjakan Pria Tua                                   68 eps
142    1524     Astaga! Salah Mengenali Istriku!                     103 eps
143    1525     Nenek Muda: Kebangkitan Keluarga                      47 eps
144    1534     Rahasia Gua Logu                                      35 eps
145    1535     Takdir Membawa Pulang                                 59 eps
146    1536     Siapa Bilang Pacar Bos Yansa Lemah?                  100 eps
147    1537     Pertemuan yang Tertunda                               92 eps
148    1544     Kaulah Mataku                                         76 eps
149    1567     Candaan yang Mengubah Segalanya                       60 eps
150    1602     Vero Akan Selalu Ada                                  78 eps
151    1605     Suami Rahasiaku Miliarder Tampan                      57 eps
152    1606     Cinta Kilat                                           86 eps
153    1607     Cinta Nyata Seorang Suami Kontrak                    100 eps
154    1614     Mawar Untukku                                        100 eps
155    1616     Ditinggal di Altar, Dapat CEO                         78 eps
156    1633     Malam yang Lembut                                     98 eps
157    1642     Luka yang Tak Terlupa                                 99 eps
158    1654     Nikah Kilat, Bertemu Tak Kenal                        90 eps
159    1658     Cinta di Balik Fitnah                                 85 eps
160    1675     CEO itu Ayah Anakku                                   80 eps
